inx,value,variable,name
2013-01-01,0.118979252874851,ET,asd
2013-01-01,1.73210310935974,GPP,asd
2013-01-01,0.118979252874851,LE,asd
2013-01-01,0.048397358506918,Rainf,asd
2014-01-01,0.166473358869553,ET,asd
2014-01-01,1.77818524837494,GPP,asd
2014-01-01,0.166473358869553,LE,asd
2014-01-01,0.00604729633778334,Rainf,asd
2015-01-01,0.222535416483879,ET,asd
2015-01-01,1.71370673179626,GPP,asd
2015-01-01,0.222535416483879,LE,asd
2015-01-01,0.0496304258704186,Rainf,asd
2016-01-01,0.193438246846199,ET,asd
2016-01-01,1.76578056812286,GPP,asd
2016-01-01,0.193438246846199,LE,asd
2016-01-01,0.0407174415886402,Rainf,asd
2017-01-01,0.140406176447868,ET,asd
2017-01-01,1.67107748985291,GPP,asd
2017-01-01,0.140406176447868,LE,asd
2017-01-01,0.00752310454845429,Rainf,asd
2018-01-01,0.227351844310761,ET,asd
2018-01-01,1.67860639095306,GPP,asd
2018-01-01,0.227351844310761,LE,asd
2018-01-01,0.0386108458042145,Rainf,asd
2019-01-01,0.211416035890579,ET,asd
2019-01-01,1.7722772359848,GPP,asd
2019-01-01,0.211416035890579,LE,asd
2019-01-01,0.0113874133676291,Rainf,asd
2013-01-15,0.24842332303524,ET,asd
2013-01-15,1.8614776134491,GPP,asd
2013-01-15,0.24842332303524,LE,asd
2013-01-15,0.146896809339523,Rainf,asd
2014-01-15,0.2258580327034,ET,asd
2014-01-15,1.8784384727478,GPP,asd
2014-01-15,0.2258580327034,LE,asd
2014-01-15,0.0276478175073862,Rainf,asd
2015-01-15,0.227260261774063,ET,asd
2015-01-15,1.8854433298111,GPP,asd
2015-01-15,0.227260261774063,LE,asd
2015-01-15,0.0209587253630161,Rainf,asd
2016-01-15,0.128946974873543,ET,asd
2016-01-15,1.84018385410309,GPP,asd
2016-01-15,0.128946974873543,LE,asd
2016-01-15,0,Rainf,asd
2017-01-15,0.654747486114502,ET,asd
2017-01-15,1.82124054431915,GPP,asd
2017-01-15,0.654747486114502,LE,asd
2017-01-15,0.546831548213959,Rainf,asd
2018-01-15,0.199733346700668,ET,asd
2018-01-15,1.85204029083252,GPP,asd
2018-01-15,0.199733346700668,LE,asd
2018-01-15,0,Rainf,asd
2019-01-15,0.279335498809814,ET,asd
2019-01-15,1.86070168018341,GPP,asd
2019-01-15,0.279335498809814,LE,asd
2019-01-15,0,Rainf,asd
2013-02-01,0.160316184163094,ET,asd
2013-02-01,1.95637428760529,GPP,asd
2013-02-01,0.160316184163094,LE,asd
2013-02-01,0.0321315638720989,Rainf,asd
2014-02-01,0.271762013435364,ET,asd
2014-02-01,1.94489920139313,GPP,asd
2014-02-01,0.271762013435364,LE,asd
2014-02-01,0.0952613800764084,Rainf,asd
2015-02-01,0.342715471982956,ET,asd
2015-02-01,2.06464600563049,GPP,asd
2015-02-01,0.342715471982956,LE,asd
2015-02-01,0,Rainf,asd
2016-02-01,0.349240094423294,ET,asd
2016-02-01,2.03497982025146,GPP,asd
2016-02-01,0.349240094423294,LE,asd
2016-02-01,0.105792239308357,Rainf,asd
2017-02-01,0.350322604179382,ET,asd
2017-02-01,2.08048248291016,GPP,asd
2017-02-01,0.350322604179382,LE,asd
2017-02-01,0.0944134667515755,Rainf,asd
2018-02-01,0.261204272508621,ET,asd
