"","name","variable","date","value"
"1","西城","GPP",2013-01-01,1.827008
"2","西城","ET",2013-01-01,0.110103
"3","西城","LAI",2013-01-01,0.599054
"4","西城","Tair",2013-01-01,-6.567513
"5","西城","Rainf",2013-01-01,0.045762
"6","西城","GPP",2014-01-01,1.874406
"7","西城","ET",2014-01-01,0.154381
"8","西城","LAI",2014-01-01,0.599054
"9","西城","Tair",2014-01-01,-2.338084
"10","西城","Rainf",2014-01-01,0.005634
"11","西城","GPP",2015-01-01,1.808111
"12","西城","ET",2015-01-01,0.201586
"13","西城","LAI",2015-01-01,0.599054
"14","西城","Tair",2015-01-01,-0.974407
"15","西城","Rainf",2015-01-01,0.043603
"16","西城","GPP",2016-01-01,1.866324
"17","西城","ET",2016-01-01,0.18929
"18","西城","LAI",2016-01-01,0.60087
"19","西城","Tair",2016-01-01,-2.726468
"20","西城","Rainf",2016-01-01,0.047303
"21","西城","GPP",2017-01-01,1.778784
"22","西城","ET",2017-01-01,0.138488
"23","西城","LAI",2017-01-01,0.606201
"24","西城","Tair",2017-01-01,-1.077962
"25","西城","Rainf",2017-01-01,0.009378
"26","西城","GPP",2018-01-01,1.794292
"27","西城","ET",2018-01-01,0.208051
"28","西城","LAI",2018-01-01,0.609998
"29","西城","Tair",2018-01-01,-1.319953
"30","西城","Rainf",2018-01-01,0.027807
"31","西城","GPP",2019-01-01,1.886565
"32","西城","ET",2019-01-01,0.209068
"33","西城","LAI",2019-01-01,0.603202
"34","西城","Tair",2019-01-01,-1.231226
"35","西城","Rainf",2019-01-01,0.011638
"36","西城","GPP",2013-01-15,1.96181
"37","西城","ET",2013-01-15,0.242734
"38","西城","LAI",2013-01-15,0.599054
"39","西城","Tair",2013-01-15,-3.126229
"40","西城","Rainf",2013-01-15,0.150616
"41","西城","GPP",2014-01-15,1.980192
"42","西城","ET",2014-01-15,0.209072
"43","西城","LAI",2014-01-15,0.599054
"44","西城","Tair",2014-01-15,-0.058503
"45","西城","Rainf",2014-01-15,0.026155
"46","西城","GPP",2015-01-15,1.98554
"47","西城","ET",2015-01-15,0.211843
"48","西城","LAI",2015-01-15,0.599054
"49","西城","Tair",2015-01-15,-0.887029
"50","西城","Rainf",2015-01-15,0.02154
"51","西城","GPP",2016-01-15,1.946644
"52","西城","ET",2016-01-15,0.123225
"53","西城","LAI",2016-01-15,0.60087
"54","西城","Tair",2016-01-15,-6.155842
"55","西城","Rainf",2016-01-15,0
"56","西城","GPP",2017-01-15,1.942361
"57","西城","ET",2017-01-15,0.634847
"58","西城","LAI",2017-01-15,0.606201
"59","西城","Tair",2017-01-15,-3.067103
"60","西城","Rainf",2017-01-15,0.556414
"61","西城","GPP",2018-01-15,1.97971
"62","西城","ET",2018-01-15,0.191411
"63","西城","LAI",2018-01-15,0.609998
"64","西城","Tair",2018-01-15,-2.197565
"65","西城","Rainf",2018-01-15,0
"66","西城","GPP",2019-01-15,1.978374
"67","西城","ET",2019-01-15,0.276833
"68","西城","LAI",2019-01-15,0.603202
"69","西城","Tair",2019-01-15,2.30782
"70","西城","Rainf",2019-01-15,0
"71","西城","GPP",2013-02-01,2.060614
"72","西城","ET",2013-02-01,0.14938
"73","西城","LAI",2013-02-01,0.599054
"74","西城","Tair",2013-02-01,-3.018914
"75","西城","Rainf",2013-02-01,0.032708
"76","西城","GPP",2014-02-01,2.06004
"77","西城","ET",2014-02-01,0.24517
"78","西城","LAI",2014-02-01,0.601047
"79","西城","Tair",2014-02-01,-3.586964
"80","西城","Rainf",2014-02-01,0.10062
"81","西城","GPP",2015-02-01,2.187809
"82","西城","ET",2015-02-01,0.288556
"83","西城","LAI",2015-02-01,0.601047
"84","西城","Tair",2015-02-01,1.705395
"85","西城","Rainf",2015-02-01,0
"86","西城","GPP",2016-02-01,2.170834
"87","西城","ET",2016-02-01,0.294612
"88","西城","LAI",2016-02-01,0.605677
"89","西城","Tair",2016-02-01,0.821936
"90","西城","Rainf",2016-02-01,0.055144
"91","西城","GPP",2017-02-01,2.216433
"92","西城","ET",2017-02-01,0.383902
"93","西城","LAI",2017-02-01,0.606201
"94","西城","Tair",2017-02-01,0.620171
"95","西城","Rainf",2017-02-01,0.133926
"96","西城","GPP",2018-02-01,2.25745
"97","西城","ET",2018-02-01,0.259371
"98","西城","LAI",2018-02-01,0.628411
"99","西城","Tair",2018-02-01,-1.464128
"100","西城","Rainf",2018-02-01,0
"101","西城","GPP",2019-02-01,1.95567
"102","西城","ET",2019-02-01,0.381563
"103","西城","LAI",2019-02-01,0.600301
"104","西城","Tair",2019-02-01,-1.513501
"105","西城","Rainf",2019-02-01,0.19413
"106","西城","GPP",2013-02-15,2.260077
"107","西城","ET",2013-02-15,0.408297
"108","西城","LAI",2013-02-15,0.599054
"109","西城","Tair",2013-02-15,0.51731
"110","西城","Rainf",2013-02-15,0.219586
"111","西城","GPP",2014-02-15,2.211054
"112","西城","ET",2014-02-15,0.484634
"113","西城","LAI",2014-02-15,0.601047
"114","西城","Tair",2014-02-15,2.708096
"115","西城","Rainf",2014-02-15,0.294122
"116","西城","GPP",2015-02-15,2.287527
"117","西城","ET",2015-02-15,0.983594
"118","西城","LAI",2015-02-15,0.601047
"119","西城","Tair",2015-02-15,2.000789
"120","西城","Rainf",2015-02-15,0.809537
"121","西城","GPP",2016-02-15,2.382819
"122","西城","ET",2016-02-15,0.37693
"123","西城","LAI",2016-02-15,0.605677
"124","西城","Tair",2016-02-15,1.78013
"125","西城","Rainf",2016-02-15,0.102744
"126","西城","GPP",2017-02-15,2.307367
"127","西城","ET",2017-02-15,0.285845
"128","西城","LAI",2017-02-15,0.606201
"129","西城","Tair",2017-02-15,4.096512
"130","西城","Rainf",2017-02-15,0
"131","西城","GPP",2018-02-15,2.367317
"132","西城","ET",2018-02-15,0.304088
"133","西城","LAI",2018-02-15,0.628411
"134","西城","Tair",2018-02-15,3.468952
"135","西城","Rainf",2018-02-15,0
"136","西城","GPP",2019-02-15,2.374193
"137","西城","ET",2019-02-15,0.34114
"138","西城","LAI",2019-02-15,0.600301
"139","西城","Tair",2019-02-15,5.399422
"140","西城","Rainf",2019-02-15,0
"141","西城","GPP",2013-03-01,2.707063
"142","西城","ET",2013-03-01,0.42759
"143","西城","LAI",2013-03-01,0.621443
