name,variable,date,value
北坞公园,ET,2013-01-01,0.102212
北坞公园,GPP,2013-01-01,1.855878
北坞公园,Tair,2013-01-01,-7.053339
北坞公园,Rainf,2013-01-01,0.047858
北坞公园,ET,2014-01-01,0.136988
北坞公园,GPP,2014-01-01,1.917465
北坞公园,Tair,2014-01-01,-2.815416
北坞公园,Rainf,2014-01-01,0.006069
北坞公园,ET,2015-01-01,0.200285
北坞公园,GPP,2015-01-01,1.842929
北坞公园,Tair,2015-01-01,-1.38841
北坞公园,Rainf,2015-01-01,0.058175
北坞公园,ET,2016-01-01,0.173398
北坞公园,GPP,2016-01-01,1.806549
北坞公园,Tair,2016-01-01,-3.50287
北坞公园,Rainf,2016-01-01,0.052836
北坞公园,ET,2017-01-01,0.120579
北坞公园,GPP,2017-01-01,1.996784
北坞公园,Tair,2017-01-01,-1.928162
北坞公园,Rainf,2017-01-01,0.003619
北坞公园,ET,2018-01-01,0.243664
北坞公园,GPP,2018-01-01,2.017748
北坞公园,Tair,2018-01-01,-2.217489
北坞公园,Rainf,2018-01-01,0.056548
北坞公园,ET,2019-01-01,0.172304
北坞公园,GPP,2019-01-01,1.819921
北坞公园,Tair,2019-01-01,-1.979509
北坞公园,Rainf,2019-01-01,0.009523
北坞公园,ET,2013-01-15,0.223374
北坞公园,GPP,2013-01-15,2.016741
北坞公园,Tair,2013-01-15,-3.550093
北坞公园,Rainf,2013-01-15,0.141839
北坞公园,ET,2014-01-15,0.197911
北坞公园,GPP,2014-01-15,2.038465
北坞公园,Tair,2014-01-15,-0.511265
北坞公园,Rainf,2014-01-15,0.030487
北坞公园,ET,2015-01-15,0.180867
北坞公园,GPP,2015-01-15,2.017103
北坞公园,Tair,2015-01-15,-1.818689
北坞公园,Rainf,2015-01-15,0.015147
北坞公园,ET,2016-01-15,0.092366
北坞公园,GPP,2016-01-15,1.863912
北坞公园,Tair,2016-01-15,-7.167568
北坞公园,Rainf,2016-01-15,0
北坞公园,ET,2017-01-15,0.28856
北坞公园,GPP,2017-01-15,2.135006
北坞公园,Tair,2017-01-15,-4.100509
北坞公园,Rainf,2017-01-15,0.495425
北坞公园,ET,2018-01-15,0.196366
北坞公园,GPP,2018-01-15,2.224939
北坞公园,Tair,2018-01-15,-3.162309
北坞公园,Rainf,2018-01-15,0
北坞公园,ET,2019-01-15,0.252485
北坞公园,GPP,2019-01-15,1.920045
北坞公园,Tair,2019-01-15,1.527609
北坞公园,Rainf,2019-01-15,0
北坞公园,ET,2013-02-01,0.132085
北坞公园,GPP,2013-02-01,2.126351
北坞公园,Tair,2013-02-01,-3.532072
北坞公园,Rainf,2013-02-01,0.026412
北坞公园,ET,2014-02-01,0.290148
北坞公园,GPP,2014-02-01,2.026711
北坞公园,Tair,2014-02-01,-3.990469
北坞公园,Rainf,2014-02-01,0.113547
北坞公园,ET,2015-02-01,0.346026
北坞公园,GPP,2015-02-01,2.149088
北坞公园,Tair,2015-02-01,0.83815
北坞公园,Rainf,2015-02-01,0
北坞公园,ET,2016-02-01,0.395839
北坞公园,GPP,2016-02-01,2.147571
北坞公园,Tair,2016-02-01,-0.148324
北坞公园,Rainf,2016-02-01,0.18772
北坞公园,ET,2017-02-01,0.327522
北坞公园,GPP,2017-02-01,2.474375
北坞公园,Tair,2017-02-01,-0.295541
北坞公园,Rainf,2017-02-01,0.077801
北坞公园,ET,2018-02-01,0.246822
北坞公园,GPP,2018-02-01,2.497399
北坞公园,Tair,2018-02-01,-2.390326
北坞公园,Rainf,2018-02-01,0
北坞公园,ET,2019-02-01,0.357477
北坞公园,GPP,2019-02-01,1.830151
北坞公园,Tair,2019-02-01,-2.46017
北坞公园,Rainf,2019-02-01,0.163781
北坞公园,ET,2013-02-15,0.395033
北坞公园,GPP,2013-02-15,2.367563
北坞公园,Tair,2013-02-15,0.202047
北坞公园,Rainf,2013-02-15,0.212507
北坞公园,ET,2014-02-15,0.530513
北坞公园,GPP,2014-02-15,2.208951
北坞公园,Tair,2014-02-15,2.258893
北坞公园,Rainf,2014-02-15,0.281697
北坞公园,ET,2015-02-15,0.718088
北坞公园,GPP,2015-02-15,2.255041
北坞公园,Tair,2015-02-15,1.174773
北坞公园,Rainf,2015-02-15,0.875629
北坞公园,ET,2016-02-15,0.321953
北坞公园,GPP,2016-02-15,2.364786
北坞公园,Tair,2016-02-15,0.809379
北坞公园,Rainf,2016-02-15,0.076833
北坞公园,ET,2017-02-15,0.300571
北坞公园,GPP,2017-02-15,2.614319
北坞公园,Tair,2017-02-15,3.19804
北坞公园,Rainf,2017-02-15,0
北坞公园,ET,2018-02-15,0.321789
北坞公园,GPP,2018-02-15,2.655549
北坞公园,Tair,2018-02-15,2.806265
北坞公园,Rainf,2018-02-15,0
北坞公园,ET,2019-02-15,0.381289
北坞公园,GPP,2019-02-15,2.267117
北坞公园,Tair,2019-02-15,4.683257
北坞公园,Rainf,2019-02-15,3.4e-05
北坞公园,ET,2013-03-01,0.5891
北坞公园,GPP,2013-03-01,3.746006
北坞公园,Tair,2013-03-01,5.159003
北坞公园,Rainf,2013-03-01,0.130012
北坞公园,ET,2014-03-01,0.538091
北坞公园,GPP,2014-03-01,2.640341
北坞公园,Tair,2014-03-01,5.313395
北坞公园,Rainf,2014-03-01,0.026963
北坞公园,ET,2015-03-01,0.535698
北坞公园,GPP,2015-03-01,2.709535
北坞公园,Tair,2015-03-01,3.596529
北坞公园,Rainf,2015-03-01,0
北坞公园,ET,2016-03-01,0.380459
北坞公园,GPP,2016-03-01,2.663175
北坞公园,Tair,2016-03-01,4.861364
北坞公园,Rainf,2016-03-01,0
北坞公园,ET,2017-03-01,0.559071
北坞公园,GPP,2017-03-01,3.464134
北坞公园,Tair,2017-03-01,6.00421
北坞公园,Rainf,2017-03-01,0
北坞公园,ET,2018-03-01,0.608434
北坞公园,GPP,2018-03-01,2.532229
北坞公园,Tair,2018-03-01,5.529974
北坞公园,Rainf,2018-03-01,0.153103
北坞公园,ET,2019-03-01,0.512158
北坞公园,GPP,2019-03-01,2.68996
北坞公园,Tair,2019-03-01,9.042716
北坞公园,Rainf,2019-03-01,0
北坞公园,ET,2013-03-15,0.818031
北坞公园,GPP,2013-03-15,3.902958
北坞公园,Tair,2013-03-15,6.582548
北坞公园,Rainf,2013-03-15,0.272746
北坞公园,ET,2014-03-15,1.069126
北坞公园,GPP,2014-03-15,3.000971
北坞公园,Tair,2014-03-15,13.536773
北坞公园,Rainf,2014-03-15,0.214674
北坞公园,ET,2015-03-15,0.876843
北坞公园,GPP,2015-03-15,3.005949
北坞公园,Tair,2015-03-15,12.135165
北坞公园,Rainf,2015-03-15,0.000572
北坞公园,ET,2016-03-15,0.694324
北坞公园,GPP,2016-03-15,3.026642
北坞公园,Tair,2016-03-15,12.231858
北坞公园,Rainf,2016-03-15,0
北坞公园,ET,2017-03-15,1.042103
北坞公园,GPP,2017-03-15,3.390595
北坞公园,Tair,2017-03-15,8.928226
北坞公园,Rainf,2017-03-15,0.517999
北坞公园,ET,2018-03-15,0.826377
北坞公园,GPP,2018-03-15,2.742876
北坞公园,Tair,2018-03-15,12.92135
北坞公园,Rainf,2018-03-15,0
北坞公园,ET,2019-03-15,0.689176
北坞公园,GPP,2019-03-15,2.865632
北坞公园,Tair,2019-03-15,11.578004
北坞公园,Rainf,2019-03-15,0.052764
北坞公园,ET,2013-04-01,1.141113
北坞公园,GPP,2013-04-01,5.208756
北坞公园,Tair,2013-04-01,8.837061
北坞公园,Rainf,2013-04-01,0.02674
北坞公园,ET,2014-04-01,2.090738
北坞公园,GPP,2014-04-01,3.98651
北坞公园,Tair,2014-04-01,15.433721
北坞公园,Rainf,2014-04-01,0.865076
北坞公园,ET,2015-04-01,2.014707
北坞公园,GPP,2015-04-01,3.109983
北坞公园,Tair,2015-04-01,10.236404
北坞公园,Rainf,2015-04-01,2.343486
北坞公园,ET,2016-04-01,1.347132
北坞公园,GPP,2016-04-01,3.06469
北坞公园,Tair,2016-04-01,13.542811
北坞公园,Rainf,2016-04-01,0.611661
北坞公园,ET,2017-04-01,1.891559
北坞公园,GPP,2017-04-01,5.730044
北坞公园,Tair,2017-04-01,14.272804
北坞公园,Rainf,2017-04-01,0.501316
北坞公园,ET,2018-04-01,1.851966
北坞公园,GPP,2018-04-01,3.673225
北坞公园,Tair,2018-04-01,11.594845
北坞公园,Rainf,2018-04-01,2.232176
北坞公园,ET,2019-04-01,1.14301
北坞公园,GPP,2019-04-01,3.044801
北坞公园,Tair,2019-04-01,13.89682
北坞公园,Rainf,2019-04-01,0.367284
北坞公园,ET,2013-04-15,1.976504
北坞公园,GPP,2013-04-15,5.892643
北坞公园,Tair,2013-04-15,15.17758
北坞公园,Rainf,2013-04-15,0.177468
北坞公园,ET,2014-04-15,1.875895
北坞公园,GPP,2014-04-15,4.335884
北坞公园,Tair,2014-04-15,17.281412
北坞公园,Rainf,2014-04-15,0.321765
北坞公园,ET,2015-04-15,1.469771
北坞公园,GPP,2015-04-15,3.537659
北坞公园,Tair,2015-04-15,20.838755
北坞公园,Rainf,2015-04-15,0
北坞公园,ET,2016-04-15,1.577171
北坞公园,GPP,2016-04-15,3.551682
北坞公园,Tair,2016-04-15,18.754951
北坞公园,Rainf,2016-04-15,0.374432
北坞公园,ET,2017-04-15,2.713326
北坞公园,GPP,2017-04-15,6.811405
北坞公园,Tair,2017-04-15,19.064209
北坞公园,Rainf,2017-04-15,0
北坞公园,ET,2018-04-15,1.933136
北坞公园,GPP,2018-04-15,4.399395
北坞公园,Tair,2018-04-15,21.220785
北坞公园,Rainf,2018-04-15,0.374789
北坞公园,ET,2019-04-15,2.82951
北坞公园,GPP,2019-04-15,3.242957
北坞公园,Tair,2019-04-15,17.410717
北坞公园,Rainf,2019-04-15,2.550999
北坞公园,ET,2013-05-01,3.659052
北坞公园,GPP,2013-05-01,6.012081
北坞公园,Tair,2013-05-01,20.159687
北坞公园,Rainf,2013-05-01,1.565702
北坞公园,ET,2014-05-01,3.625177
北坞公园,GPP,2014-05-01,4.443274
北坞公园,Tair,2014-05-01,17.69458
北坞公园,Rainf,2014-05-01,2.132265
北坞公园,ET,2015-05-01,3.751786
北坞公园,GPP,2015-05-01,5.99708
北坞公园,Tair,2015-05-01,17.846539
北坞公园,Rainf,2015-05-01,3.116364
北坞公园,ET,2016-05-01,3.729069
北坞公园,GPP,2016-05-01,6.279939
北坞公园,Tair,2016-05-01,18.461891
北坞公园,Rainf,2016-05-01,4.962645
北坞公园,ET,2017-05-01,3.765648
北坞公园,GPP,2017-05-01,5.287459
北坞公园,Tair,2017-05-01,20.468725
北坞公园,Rainf,2017-05-01,1.385688
北坞公园,ET,2018-05-01,4.048258
北坞公园,GPP,2018-05-01,5.815151
北坞公园,Tair,2018-05-01,22.562885
北坞公园,Rainf,2018-05-01,2.526873
北坞公园,ET,2019-05-01,4.259084
北坞公园,GPP,2019-05-01,6.857735
北坞公园,Tair,2019-05-01,22.34429
北坞公园,Rainf,2019-05-01,2.238834
北坞公园,ET,2013-05-15,3.082357
北坞公园,GPP,2013-05-15,5.836077
北坞公园,Tair,2013-05-15,23.157303
北坞公园,Rainf,2013-05-15,0.372353
北坞公园,ET,2014-05-15,3.859825
北坞公园,GPP,2014-05-15,3.910982
北坞公园,Tair,2014-05-15,25.332455
北坞公园,Rainf,2014-05-15,1.488415
北坞公园,ET,2015-05-15,4.226584
